LICENSE NUMBER,LICENSEE NAME,BUSINESS NAME,LICENSE TYPE,ACTIVE,COUNTY,Retail Delivery,Medical Grade,Hemp
050 100427322D0,High Quality Compassion LLC,High Quality Compassion,Recreational Retailer,Yes,Benton,Yes,Yes,
030 1004307CC7D,"Apollo Grown, Inc.",Apollo Grown Inc; E-Co Dabs,Recreational Processor,Yes,Benton,,,
050 1004474B67D,The Agrestic LLC,The Agrestic South,Recreational Retailer,Yes,Benton,Yes,Yes,
050 1004475152E,"The Agrestic North, Inc.",The Agrestic North Inc,Recreational Retailer,Yes,Benton,Yes,Yes,
050 1004605A8E3,"Corvallis Retail, LLC",Mr. Nice Guy Corvallis,Recreational Retailer,Yes,Benton,Yes,Yes,
050 10046559560,ZERJAN LLC,Marie Janes Cannabis Connection,Recreational Retailer,Yes,Benton,Yes,Yes,
030 100468103AD,Molecular Masses LLC,Green Valley Chocolates,Recreational Processor,Yes,Benton,,Yes,
020 10047401654,"Renegade Roots, Inc.",Renegade Roots,Recreational Producer,Yes,Benton,,,
020 10048973353,"High River Farms, LLC",High River Farms,Recreational Producer,Yes,Benton,,,
020 1004953ADCF,Arbutus Roots Inc,Arbutus Roots,Recreational Producer,Yes,Benton,,,
030 1005028B660,Pacific Commercial Holdings LLC,Oregon Genetics,Recreational Processor,Yes,Benton,,,
050 10051701948,Dess Enterprises LLC,Sativa's Place,Recreational Retailer,Yes,Benton,,,
020 1005602453F,Oregon Dreams LLC,Oregon Dreams,Recreational Producer,Yes,Benton,,,
020 10057429007,"Stoneygoat Farms LLC; West Coast Gardens, LLC",Stoneygoat Farms,Recreational Producer,Yes,Benton,,,
020 1005869EE1A,"Black Fire Farms, LLC",Blackfire Farms,Recreational Producer,Yes,Benton,,,
030 1006263C296,"Beatnick's Finest, LLC",Beatnick's Finest,Recreational Processor,Yes,Benton,,,Yes
060 10062820F95,Pacific Commercial Holdings LLC,Oregon Genetics,Recreational Wholesaler,Yes,Benton,,,
020 10068802126,Nature's Path LLC,Nature's Path,Recreational Producer,Yes,Benton,,,
020 10071128A1B,"Beatnick's Finest, LLC",Beatnick's Finest,Recreational Producer,Yes,Benton,,,
020 10083452027,Mercury Primo INC.,Mercury Primo INC,Recreational Producer,Yes,Benton,,,
010 10087092BDA,PREE Laboratories LLC,PREE ,Laboratory,Yes,Benton,,,
050 1008848DCF8,"MNG Holdings, LLC ",Mr. Nice Guy Retail,Recreational Retailer,Yes,Benton,,,
050 10000680436,Elsner Inc.,MARITIME CAFE,Recreational Retailer,Yes,Clackamas,Yes,Yes,
020 10000876283,High Productions LLC,High Productions LLC,Recreational Producer,Yes,Clackamas,,,
020 100010499D8,"Solar Fresh, LLC ",sofresh farms,Recreational Producer,Yes,Clackamas,,,
020 1000124228F,"B-Cubed, LLC",Ridgeback Cannabis,Recreational Producer,Yes,Clackamas,,,
020 1000131F8D2,"Canby Growing Farms, Inc.",Aroma,Recreational Producer,Yes,Clackamas,,,
020 1000139BC13,Evergreen Harvest LLC,Evergreen Harvest,Recreational Producer,Yes,Clackamas,,,
020 1000141D7D2,"PWCC, LLC",Bull Run Craft Cannabis,Recreational Producer,Yes,Clackamas,,,
020 100014341E7,"High Spirit Acres, LLC & Tap-Reloop, LLC ",High Spirit Acres,Recreational Producer,Yes,Clackamas,,,
020 1000180118A,"GANJA GIRL PRODUCTS, INC.",GANJA GIRL PRODUCTS,Recreational Producer,Yes,Clackamas,,,
020 1000193BA66,High Noon Farm LLC,High Noon Cultivation,Recreational Producer,Yes,Clackamas,,,
020 10002678151,"Tap-Reloop, LLC & High Spirit Acres, LLC","Tap-Reloop, LLC",Recreational Producer,Yes,Clackamas,,,
020 10002976C07,Frost Factory LLC,Frost Factory,Recreational Producer,Yes,Clackamas,,,
020 10003270D7B,Black Crow Grow Company LLC,Black Crow,Recreational Producer,Yes,Clackamas,,,
060 10003283A31,Bella Caramella LLC,BHOmbChelly's Jelly's,Recreational Wholesaler,Yes,Clackamas,,,
030 1000330C704,Bella Caramella LLC,BHOmbChelly's Jelly's,Recreational Processor,Yes,Clackamas,,Yes,
020 1000535FBA4,Connoisseur Collective LLC,Connoisseur Collective LLC,Recreational Producer,Yes,Clackamas,,,
020 10005699B79,Dharma Organic Gardens Corporation,Dharma Organic Gardens Corporation,Recreational Producer,Yes,Clackamas,,,
020 1000634CFB2,Workingman's Bud LLC,Workingman's Bud,Recreational Producer,Yes,Clackamas,,,
050 10006476DA7,"Oregon Bud Company, LLC",Oregon Bud Company ,Recreational Retailer,Yes,Clackamas,,,
020 10007025389,"GMG, LLC",Troutman Farms,Recreational Producer,Yes,Clackamas,,,
020 100071239F4,Oregon Girl LLC,Oregon Girl LLC,Recreational Producer,Yes,Clackamas,,,
020 1000739670C,Green Acres of Oregon,Green Acres of Oregon,Recreational Producer,Yes,Clackamas,,,
020 10007450C46,G and M Manufacturing LLC,Nelson and Company Organics,Recreational Producer,Yes,Clackamas,,,
020 10007701E99,"GREEN DRAGON GARDENS, LLC",Green Dragon Gardens,Recreational Producer,Yes,Clackamas,,,
030 10007711A04,"Green Dragon Extracts, LLC/ Green Dragon Wholesale, LLC",Green Dragon Extracts,Recreational Processor,Yes,Clackamas,,,
020 1000776FEE5,Kush King Enterprise LLC ,Kush King Enterprise LLC,Recreational Producer,Yes,Clackamas,,,
020 10008292F65,Lisa Atherton / Scott Atherton,Alright Acres,Recreational Producer,Yes,Clackamas,,,
020 10008849168,Fern Hollow LLC,Fern Hollow LLC,Recreational Producer,Yes,Clackamas,,,
020 10008852B8D,"Portland High Standards, Inc","Portland High Standards, Inc.",Recreational Producer,Yes,Clackamas,,,
060 10009170038,"Green Dragon Wholesale, LLC / Green Dragon Extracts LLC",Green Dragon Wholesale,Recreational Wholesaler,Yes,Clackamas,,,
020 100095900D3,"GEFES, LLC",Oregon's Own,Recreational Producer,Yes,Clackamas,,,
020 1000972D0CA,Raymond Miller & Deborah Miller,Smokey Mountain High,Recreational Producer,Yes,Clackamas,,,
020 10010495C5F,"GREEN CHOICE FARMS, LLC",Green Choice Farms,Recreational Producer,Yes,Clackamas,,,
020 100115598E5,Cannabis Agricultural Nexus,Headrush Hill Farms,Recreational Producer,Yes,Clackamas,,,
020 100126039A4,Red Barn Agriculture LLC,Red Barn Agriculture,Recreational Producer,Yes,Clackamas,,,
020 100140402E1,Oregon Blissful Botanicals LLC,Oregon Blissful Botanicals,Recreational Producer,Yes,Clackamas,,,
020 100158612C3,Deep Creek Gardens LLC.,Deep Creek Gardens LLC,Recreational Producer,Yes,Clackamas,,,
020 10015951672,"Gadsden Gardens, Inc.","Gadsden Gardens, Inc.",Recreational Producer,Yes,Clackamas,,,
020 1001708B711,Eagle Creek Growers LLC,Eagle Creek Growers LLC,Recreational Producer,Yes,Clackamas,,,
020 1001709DB77,Wyld Farms llc,Wyld Craft,Recreational Producer,Yes,Clackamas,,,
020 1001712E3DA,Pudding River Enterprises LLC,Pudding River Enterprises LLC,Recreational Producer,Yes,Clackamas,,,
020 10017353A90,Dawn Sayles & Roger Sayles,TMW,Recreational Producer,Yes,Clackamas,,,
020 100178104E1,"Two Phat Buds, LLC",Two Phat Buds,Recreational Producer,Yes,Clackamas,,,
020 1001810F4B7,Midori Farms LLC & Eric Bizon,"Midori Farms, LLC",Recreational Producer,Yes,Clackamas,,,
020 1001920381A,Sandy River Organics LLC,Sandy River Organics,Recreational Producer,Yes,Clackamas,,,
020 1001946446B,Cirrus Green LLC,Cirrus Green LLC,Recreational Producer,Yes,Clackamas,,,
030 10019475C72,Green Mile Enterprises LLC,Green Mile Enterprises LLC,Recreational Processor,Yes,Clackamas,,,Yes
010 1002015CA5E,Chemhistory LLC/ Alex Hoggan,Chemhistory,Laboratory,Yes,Clackamas,,,
020 1002017A034,"UBC, LLC",Noblecraft,Recreational Producer,Yes,Clackamas,,,
020 100207137EB,"Skunk Valley Farm, LLC","Skunk Valley Farm, LLC",Recreational Producer,Yes,Clackamas,,,
020 10020799885,"Northwest Greeneries, Inc.",NW Greeneries,Recreational Producer,Yes,Clackamas,,,
020 1002080A7CF,Farms of the Future Inc.,Synergy Farms,Recreational Producer,,Clackamas,,,
020 10021210781,Mulino Agricultural II LLC,Cannananda,Recreational Producer,Yes,Clackamas,,,
020 1002187AD2D,Belmont & Roe LLC,Belmont & Roe,Recreational Producer,Yes,Clackamas,,,
020 10022459A6C,"Orgo Farms, LLC",Orgo Farms,Recreational Producer,Yes,Clackamas,,,
020 1002250AD7C,The Clone Brothers LLC,The Clone Brothers,Recreational Producer,Yes,Clackamas,,,
020 1002281D780,GOG LLC,Green Ops Gardens,Recreational Producer,Yes,Clackamas,,,
020 1002299A014,"Red Wing Enterprise Farms, Inc","Red Wing Enterprise Farms, Inc",Recreational Producer,Yes,Clackamas,,,
020 1002357FBBD,C9F LLC,Cloud 9 Farms ,Recreational Producer,Yes,Clackamas,,,
020 1002416DB14,"Logan Project, LLC",Donger Farms,Recreational Producer,Yes,Clackamas,,,
050 1002483A9C1,"The Green Planet, Inc ",The Green Planet,Recreational Retailer,Yes,Clackamas,Yes,Yes,
060 1002486ABCF,HoodView Cannabis LLC,HoodView Cannabis Distributing,Recreational Wholesaler,Yes,Clackamas,,Yes,
020 10025042247,Geiger Industries LLC,Panda Farms,Recreational Producer,Yes,Clackamas,,,
020 100255921B4,"Indoor Orchards, LLC",Indoor Orchards,Recreational Producer,Yes,Clackamas,,,
020 10025873DD3,Greenway Farm LLC,Greenway Farm LLC,Recreational Producer,Yes,Clackamas,,,
020 10025979B73,Noble Farms LLC,Noble Farms,Recreational Producer,Yes,Clackamas,,,
020 10026114352,Eco Firma Farms LLC,Eco Firma Farms LLC,Recreational Producer,Yes,Clackamas,,,
020 1002630D5FA,Northstar Botanicals Inc,Northstar Botanicals,Recreational Producer,Yes,Clackamas,,,
020 10026562977,WCC,West Coast Chronics,Recreational Producer,Yes,Clackamas,,,
020 100278076DC,Cascadia Elevated Agriculture Corporation,Elevated Agriculture,Recreational Producer,Yes,Clackamas,,,
020 10029048597,GK Wholesale LLC,GK Wholesale LLC,Recreational Producer,Yes,Clackamas,,,
020 10029164A07,Happy Hollow Farms - Production - Oregon City Inc.,Quantum Oregon,Recreational Producer,Yes,Clackamas,,,
020 100292516BA,High Ridge Farms LLC,High Ridge Farms ,Recreational Producer,Yes,Clackamas,,,
030 1002931FDDD,Dr Phill's Pharma LLC,Dr Phill's Pharma,Recreational Processor,Yes,Clackamas,,Yes,Yes
020 1003022478D,Gnome Grown LLC,Gnome Grown,Recreational Producer,Yes,Clackamas,,,
020 1003026BC57,"The Dutch, LLC.",The Dutch,Recreational Producer,Yes,Clackamas,,,
030 1003109E26A,"Northwest Confections, LLC",Wyld,Recreational Processor,Yes,Clackamas,,,Yes
020 10031139AAB,Agronomi LLC,Agronomi,Recreational Producer,Yes,Clackamas,,,
020 1003119FF11,"Top Notch Genetics, LLC",Top Notch Genetics,Recreational Producer,Yes,Clackamas,,,
020 1003154CD80,"Wee Farms, LLC",Wee Farms,Recreational Producer,Yes,Clackamas,,,
020 100315580DD,Green Factory LLC,Artisan Agriculture,Recreational Producer,Yes,Clackamas,,,
020 1003165E8AB,HQFARMS LLC,HQFarms,Recreational Producer,Yes,Clackamas,,,
020 1003285F88D,Harvest Farms LLC,Harvest Farms LLC,Recreational Producer,Yes,Clackamas,,,
020 1003298A139,Willamette Enterprises LLC,Furthur Farms,Recreational Producer,Yes,Clackamas,,,
020 10033080DFC,Almadula LLC,Almadula,Recreational Producer,Yes,Clackamas,,,
020 100336344F2,"Happy Bud Farms, LLC",Happy Bud Farms,Recreational Producer,Yes,Clackamas,,,
020 1003391638A,"Brown Bag Partners, LLC",Alibi Cannabis,Recreational Producer,Yes,Clackamas,,,
030 1003392593C,"Helio Estates, Inc",Fully Baked Edibles,Recreational Processor,Yes,Clackamas,,,
030 10034059080,"Oregon Candy Farm, LLC",Oregon Candy Farm,Recreational Processor,Yes,Clackamas,,Yes,
030 100343979C0,"Empower Essential Oils, LLC",Empower Bodycare/ Empower Oil,Recreational Processor,Yes,Clackamas,,Yes,Yes
030 100351367B7,Odin Distillations LLC,Odin Distillations LLC,Recreational Processor,Yes,Clackamas,,Yes,Yes
020 1003516F56E,"Bimini Farms, Inc.","Bimini Farms, Inc",Recreational Producer,Yes,Clackamas,,,
020 1003596AC50,Otto's OG Farm Inc.,Otto's OG Farm ,Recreational Producer,Yes,Clackamas,,,
020 1003683BF3A,AMS Holdings LLC,Terra Canna Farms,Recreational Producer,Yes,Clackamas,,,
030 10037360034,"Oregon Oil Technologies, LLC","Oregon Oil Technologies, LLC",Recreational Processor,Yes,Clackamas,,,
020 10037377E46,"Saint J. Enterprises, LLC",Grasp Organics,Recreational Producer,Yes,Clackamas,,,
050 1003857B96E,"Today's Herbal Choice, Inc. ","Today's Herbal Choice, Inc.",Recreational Retailer,Yes,Clackamas,,Yes,
030 10039682015,"LMJ Partners, LLC",Laurie & MaryJane,Recreational Processor,Yes,Clackamas,,,
030 1003980D6B6,Tozmoz LLC,Tozmoz,Recreational Processor,Yes,Clackamas,,,
050 10039882706,"JOMOSH, LLC",Bigfoot Bud Company,Recreational Retailer,Yes,Clackamas,Yes,Yes,
050 10041449712,Deshe' Inc,Deshe,Recreational Retailer,Yes,Clackamas,,,
020 1004186D6FB,Stone Age Farms LLC,Excolo,Recreational Producer,Yes,Clackamas,,,
030 1004205E3CB,Hana Medicinals LLC,Hana Medicinals,Recreational Processor,Yes,Clackamas,,,
020 1004259EB0B,Cascade Agricultural Sciences LLC,Old Apple Farm,Recreational Producer,Yes,Clackamas,,,
020 10042753B4C,L & D Development LLC,Laughing Dog Farms,Recreational Producer,Yes,Clackamas,,,
020 100430972E9,"SLO MO, INC.",SLO MO,Recreational Producer,Yes,Clackamas,,,
020 10043215787,99 North Corporation,99 North,Recreational Producer,Yes,Clackamas,,,
050 1004322D06D,Little Amsterdam Wellness Center LLC,Little Amsterdam Wellness Center,Recreational Retailer,Yes,Clackamas,,Yes,
030 10043426736,Epicurean Edibles LLC/Revolution Green LLC,Upward/Revolution Green,Recreational Processor,Yes,Clackamas,,,
020 1004362076D,ABC Garden Company LLC,St. Augustine Gardens & Imperial Gardens,Recreational Producer,Yes,Clackamas,,,
020 100446164FE,"Inner Rhythm, LLC",Inner Rhythm,Recreational Producer,Yes,Clackamas,,,
050 1004511D431,Gnome Grown Retail LLC,Gnome Grown Oregon,Recreational Retailer,Yes,Clackamas,Yes,Yes,
050 10045349EFC,SMOKE ON THE MOUNTAIN LLC,SMOKE ON THE MOUNTAIN LLC,Recreational Retailer,Yes,Clackamas,Yes,Yes,
030 10045958630,Clay Wolf LLC,Claywolf,Recreational Processor,Yes,Clackamas,,,
020 10045990CBA,North Tree Company LLC,Campfire Cannabis,Recreational Producer,Yes,Clackamas,,,
020 10046865888,"Oregon Candy Farm, LLC",Chronic Creations,Recreational Producer,Yes,Clackamas,,,
030 10047088B5F,"HAPPY HOLLOW FARMS, INC.","Happy Hollow Farms, Inc.",Recreational Processor,Yes,Clackamas,,,
060 100471033DB,"HAPPY HOLLOW FARMS, INC.","Happy Hollow Farms, Inc.",Recreational Wholesaler,Yes,Clackamas,,,
020 10047374776,"HAPPY HOLLOW FARMS, INC.",Happy Hollow Farms,Recreational Producer,Yes,Clackamas,,,
030 10047671F96,"Pinnacle Processing, LLC",Pinnacle Processing,Recreational Processor,Yes,Clackamas,,,Yes
020 1004838EFA3,BA Botanicals LLC,BA Botanicals,Recreational Producer,Yes,Clackamas,,,
020 10048643165,Budding Prospectors LLC,Budding Prospectors LLC,Recreational Producer,Yes,Clackamas,,,
020 1004882135F,Greenfarm Industries LLC,Greenfarm Industries,Recreational Producer,Yes,Clackamas,,,
030 100515417E0,Muru LLC,Muru,Recreational Processor,Yes,Clackamas,,Yes,
020 1005157CEB7,Clear Creek Holdings LLC,Clear Creek Cannabis,Recreational Producer,Yes,Clackamas,,,
020 10051818F85,"DL Management Group, Inc.",De Koning,Recreational Producer,Yes,Clackamas,,,
020 10051825677,"Empire State Boys, LLC","Empire State Boys, LLC",Recreational Producer,Yes,Clackamas,,,
020 10052375219,Springwater Organics,Springwater Organics,Recreational Producer,Yes,Clackamas,,,
050 10054270DD5,Stoney Only Clackamas LLC,Stoney Only Clackamas,Recreational Retailer,Yes,Clackamas,Yes,Yes,
020 10054289783,Fourganic Farms,Fourganic Farms,Recreational Producer,Yes,Clackamas,,,
020 1005584B72B,"Blank Street Urban Farms, Inc.",Blank Street Urban Farms,Recreational Producer,Yes,Clackamas,,,
020 10056404377,"Bornstedt, LLC",Lifestyle Farms,Recreational Producer,Yes,Clackamas,,,
050 10056731BDF,GSM CONSULTING LLC,green stop meds,Recreational Retailer,Yes,Clackamas,,,
050 1005686A8BD,Gnome Grown Retail LLC,Gnome Grown Oregon,Recreational Retailer,Yes,Clackamas,Yes,Yes,
020 1005719BFF5,Flint Farms LLC ,Flint Farms,Recreational Producer,Yes,Clackamas,,,
050 1005733CE1E,"PNW Cannabis, LLC",Top Shelf Budz,Recreational Retailer,Yes,Clackamas,Yes,Yes,
020 1005783E99F,Terra Mater Reserve Inc.,Terra Mater Reserve,Recreational Producer,Yes,Clackamas,,,
020 1005806F2A0,"Applied Science Farming, LLC",Applied Science Farming,Recreational Producer,Yes,Clackamas,,,
020 1005908F614,Bad Moon Rising LLC,Boring Weed Company,Recreational Producer,Yes,Clackamas,,,
020 1005952EBDF,America1776 LLC,America1776 LLC,Recreational Producer,Yes,Clackamas,,,
050 100595905E3,GW Retail 220 SW 1st Inc.,Electric Lettuce,Recreational Retailer,Yes,Clackamas,,,
050 1005978077D,"WWMP, LLC/ OC Joe, LLC",Kaleafa OC,Recreational Retailer,Yes,Clackamas,Yes,Yes,
050 10060518DA7,"Wild West Emporium - Molalla - Oregon City, Inc.",Wild West Emporium,Recreational Retailer,Yes,Clackamas,Yes,Yes,
020 100608464AD,"Molalla River Enterprises East, LLC","Molalla River Enterprises East, LLC",Recreational Producer,Yes,Clackamas,,,
020 1006086FC27,"Molalla River Enterprises West, LLC","Molalla River Enterprises West, LLC",Recreational Producer,Yes,Clackamas,,,
020 10061378DAE,"De Terra, LLC",De Terra,Recreational Producer,Yes,Clackamas,,,
030 1006226EA9B,Edibles LLC,MAJIK EDIBLES,Recreational Processor,Yes,Clackamas,,,
030 1006358541A,"2nd Arrow Oil, LLC",2nd Arrow Oil Co. ,Recreational Processor,Yes,Clackamas,,Yes,
020 1006364E40B,High Places LLC,High Places,Recreational Producer,Yes,Clackamas,,,
030 1006488724F,C&R PRODUCTS LLC,"C&R Products, LLC",Recreational Processor,Yes,Clackamas,,,
020 1006541F4B9,DG Farms LLC,DG Farmz,Recreational Producer,Yes,Clackamas,,,
030 10065691FC8,"M2B Global, Inc.",TREETS,Recreational Processor,Yes,Clackamas,,,
020 1006576E869,Deshe' Inc,Deshe',Recreational Producer,Yes,Clackamas,,,
030 10066556E3E,"Toro Ma, LLC","Toro Ma, LLC",Recreational Processor,Yes,Clackamas,,,
020 10066611297,Dank Bros LLC,"Dank Bros, LLC",Recreational Producer,Yes,Clackamas,,,
050 100671665A3,Stumptown Cannabis LLC,Stumptown Cannabis ,Recreational Retailer,Yes,Clackamas,Yes,Yes,
020 1006728339F,Oregon Compassion Solutions LLC,Shango,Recreational Producer,Yes,Clackamas,,,
020 100677517F8,"R & D Enterprises, LLC.",R & D Northwest,Recreational Producer,Yes,Clackamas,,,
020 1006794E71A,TM AG Peter LLC/Peter Munro,TM AG Peter,Recreational Producer,Yes,Clackamas,,,
030 1006808389A,EDIBOLOGY LLC,EDIBOLOGY,Recreational Processor,Yes,Clackamas,,,
020 100682137B6,BBHC LLC,Hesperides Garden,Recreational Producer,Yes,Clackamas,,,
020 1006890F472,Viridia Farms LLC,Viridia Farms,Recreational Producer,Yes,Clackamas,,,
020 1006910E444,Enterprise Farm LLC,Artisan Grown,Recreational Producer,Yes,Clackamas,,,
020 1006912001D,Enterprise Farm LLC,Artisan Grown,Recreational Producer,Yes,Clackamas,,,
020 10070365F5A,Little Granny's Garden Inc,Little Granny's Garden Inc.,Recreational Producer,Yes,Clackamas,,,
020 10071751F4B,Zelona LLC,Zelona LLC,Recreational Producer,Yes,Clackamas,,,
020 10071771A8C,"Hardwoods, Inc.",Hardwoods,Recreational Producer,Yes,Clackamas,,,
020 100726785B3,Oregon Compassion Solutions LLC,Shango,Recreational Producer,Yes,Clackamas,,,
020 1007331ADCB,"Palladium Solutions, LLC","PALLADIUM SOLUTIONS, LLC",Recreational Producer,Yes,Clackamas,,,
020 1007448C369,Living Things LLC,Living Things,Recreational Producer,Yes,Clackamas,,,
020 10074973A9C,"OpCo Production 2, LLC",TJ's Gardens (PDX),Recreational Producer,Yes,Clackamas,,,
030 100761800BC,Gravity Provisions LLC ,Gravity Provisions,Recreational Processor,Yes,Clackamas,,,
020 1007688D38D,Dutch Valley Farms LLC,Dutch Valley Farms,Recreational Producer,Yes,Clackamas,,,
020 1007794316B,LTVR Heiple LLC,LTVR Heiple,Recreational Producer,Yes,Clackamas,,,
030 10078106814,"The Grasse Company, LLC",The Grasse Company,Recreational Processor,Yes,Clackamas,,,
020 1007815E0EA,Heiple L5 LLC,Heiple L5 ,Recreational Producer,Yes,Clackamas,,,
030 10078243D43,JAWC LLC,Mule Extracts ,Recreational Processor,Yes,Clackamas,,,
020 1007858468D,BNR2 INC,TruGanic Hybrid Cultivation,Recreational Producer,Yes,Clackamas,,,
030 10078658190,GreenEnvy LLC,GreenEnvy ,Recreational Processor,Yes,Clackamas,,,
020 1007888F21A,WJK International LLC,WJK International,Recreational Producer,Yes,Clackamas,,,
020 1007896E80B,Heiple L3 LLC,Heiple L3,Recreational Producer,Yes,Clackamas,,,
020 100791131CE,Green Farms LLC,Green Farms LLC,Recreational Producer,Yes,Clackamas,,,
020 1007944FFDB,"KNF Farms, LLC","KNF Farms, LLC",Recreational Producer,Yes,Clackamas,,,
060 1007965655A,Muru Wholesale LLC,Muru Wholesale,Recreational Wholesaler,Yes,Clackamas,,,
020 10079824036,"Sunlight Ridge, LLC","Sunlight Ridge, LLC",Recreational Producer,Yes,Clackamas,,,
020 1008021F51D,"Folium Farms, LLC",Folium Farms,Recreational Producer,Yes,Clackamas,,,
050 10081041764,"CBN OC, INC",Cannabis Nation Oregon City,Recreational Retailer,Yes,Clackamas,,,
060 10082054D82,Green Leaf Protection 503 LLC,Green Leaf Protection 503,Recreational Wholesaler,Yes,Clackamas,,,
020 1008229A35F,"Paschal Farms, Inc",Paschal Farms,Recreational Producer,Yes,Clackamas,,,
060 1008261C4C8,CBN Supply Company,Cannabis Nation Supply Co,Recreational Wholesaler,Yes,Clackamas,,,
020 1008331E287,Truly Blended LLC,Makru Farms,Recreational Producer,Yes,Clackamas,,,
020 10083322EE4,Eagle Valley Farm LLC,Eagle Valley Farm LLC,Recreational Producer,Yes,Clackamas,,,
020 1008484D051,"Good Flower, LLC","Good Flower, LLC",Recreational Producer,Yes,Clackamas,,,
050 1008521615D,JIA Holdings Ltd,Paradise Found,Recreational Retailer,Yes,Clackamas,,,
030 1008541D36B,"Oregon Processing Solutions, LLC",Oregon Processing Solutions,Recreational Processor,Yes,Clackamas,,,
050 10086554F25,CFA RETAIL LLC,Chalice Farms,Recreational Retailer,Yes,Clackamas,,,
050 1008759BD28,"Tidepool Oregon City, Inc.",Five Zero Trees,Recreational Retailer,Yes,Clackamas,,,
020 10087807B86,Noble Sprout Farms Inc.,Rip City Green,Recreational Producer,Yes,Clackamas,,,
020 1008796FA70,D&C Holdings LLC,Prime Pine Co,Recreational Producer,Yes,Clackamas,,,
050 1008835510A,"PPC Holdings, LLC and Daryl Bell",West,Recreational Retailer,Yes,Clackamas,,,
020 1008901972C,Bull Moon Inc.,Bull Moon,Recreational Producer,Yes,Clackamas,,,
030 10089920184,G and M Manufacturing LLC,Nelson and Company Organics,Recreational Processor,Yes,Clackamas,,,
020 1009009E49E,Star Dog Farms LLC,Star Dog Farms,Recreational Producer,Yes,Clackamas,,,
060 1009031DBC6,JIA Holdings Ltd,PF Wholesale,Recreational Wholesaler,Yes,Clackamas,,,
020 1009075D93F,"THIS BUDZ FOR YOU FARMS, LLC",This Budz For You Farms,Recreational Producer,Yes,Clackamas,,,
020 10091450C38,Southeastern Headquarters LLC,Southeastern Headquarters (SEHQ),Recreational Producer,Yes,Clackamas,,,
030 1009270AFB4,Eos Labs LLC,Eos Labs,Recreational Processor,Yes,Clackamas,,,
020 10092798571,"Indo Supply, LLC ",Indo Supply,Recreational Producer,Yes,Clackamas,,,
050 100945472E9,THE REC CENTER LLC,Mount Hood Cannabis Company,Recreational Retailer,Yes,Clackamas,,,
